epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2541,2.05018,70.3878,1.63701,0,0,0,0,2.98029,6.47683,1.95781,0.0676226,0.000327044,0.000327044
2,90.0384,2.1204,3.55058,1.88671,0.02086,0.02151,0.00356,0.00087,3.3742,8.01306,2.7831,0.0346225,0.000660216,0.000660216
3,119.806,1.99026,2.75423,1.81199,0.17187,0.04839,0.039,0.01703,2.62017,4.87256,2.16943,0.00162167,0.00099274,0.00099274
4,137.418,1.85754,2.67339,1.80749,0.00861,0.10753,0.01835,0.00682,2.44584,5.3494,2.0505,0.000997803,0.000997803,0.000997803
5,159.319,1.96363,2.71108,1.7579,0.13422,0.04839,0.02831,0.01328,2.92479,6.89995,2.55912,0.000996097,0.000996097,0.000996097
6,179.009,1.93152,2.51381,1.78687,0.27945,0.04839,0.03043,0.01146,3.11054,5.66858,2.3253,0.000993906,0.000993906,0.000993906
7,198.38,1.86695,2.39159,1.63199,0.03994,0.03763,0.01496,0.00733,2.75646,5.52077,2.01511,0.000991232,0.000991232,0.000991232
8,217.169,2.07899,2.41018,1.8114,0.01009,0.02151,0.00363,0.00172,2.76973,6.21835,2.12552,0.000988079,0.000988079,0.000988079
9,235.455,1.71945,1.93815,1.52956,0.00737,0.02688,0.004,0.00163,2.73063,5.94078,2.06596,0.000984449,0.000984449,0.000984449
10,255.458,1.87596,1.99082,1.65662,0.00994,0.0914,0.01629,0.00865,2.49638,5.65916,1.97095,0.000980345,0.000980345,0.000980345
11,274.559,1.8305,1.93901,1.78234,0.01115,0.02151,0.00628,0.00228,2.76305,7.03631,2.21546,0.000975773,0.000975773,0.000975773
12,293.744,1.74079,1.66677,1.62032,0.07066,0.02151,0.00726,0.00418,2.79799,6.23941,2.3909,0.000970736,0.000970736,0.000970736
13,312.222,1.60573,1.85258,1.61314,0.09322,0.06452,0.025,0.0081,3.03272,5.62799,2.54572,0.000965239,0.000965239,0.000965239
14,331.07,1.82468,2.03881,1.84723,0.50229,0.01613,0.02522,0.0073,3.23338,5.70568,2.57197,0.000959289,0.000959289,0.000959289
15,349.97,1.66289,1.78069,1.79301,0.05725,0.02688,0.01464,0.00641,3.01565,5.62089,2.43641,0.000952889,0.000952889,0.000952889
16,368.418,1.7631,1.72871,1.72097,0.47434,0.03226,0.04713,0.01377,2.79085,5.78178,2.30788,0.000946048,0.000946048,0.000946048
17,387.189,1.54229,1.6279,1.57175,0.05997,0.03763,0.02371,0.00862,2.54763,5.51335,2.0443,0.000938772,0.000938772,0.000938772
18,405.679,1.60042,1.55404,1.56022,0.07719,0.03763,0.01583,0.00661,2.78965,5.68628,2.29073,0.000931067,0.000931067,0.000931067
19,424.542,1.57617,1.68717,1.52005,0.25077,0.02688,0.02453,0.00888,2.91877,6.09601,2.3473,0.000922942,0.000922942,0.000922942
20,443.044,1.67165,1.93374,1.55896,0.26446,0.03226,0.02649,0.01159,2.73429,5.15866,2.24319,0.000914405,0.000914405,0.000914405
21,461.873,1.50314,1.58196,1.45118,0.01366,0.06989,0.00822,0.00452,2.56836,6.73901,1.99958,0.000905463,0.000905463,0.000905463
22,481.588,1.66173,1.74709,1.5494,0.20974,0.05376,0.03563,0.01386,2.61071,5.57944,2.0874,0.000896127,0.000896127,0.000896127
23,501.405,1.4389,1.69857,1.48159,0.01044,0.04839,0.00569,0.00361,2.74575,6.67389,2.21724,0.000886404,0.000886404,0.000886404
24,520.042,1.36637,1.49425,1.43557,0.06091,0.02151,0.00467,0.00234,2.57942,6.22072,2.10133,0.000876305,0.000876305,0.000876305
25,539.572,1.44175,1.35221,1.41784,0.01445,0.08065,0.00925,0.00449,2.55662,6.34749,2.11606,0.000865839,0.000865839,0.000865839
26,557.801,1.44368,1.29369,1.43463,0.10159,0.04839,0.01275,0.0064,2.57673,5.95004,2.22456,0.000855018,0.000855018,0.000855018
27,576.714,1.29434,1.39476,1.28207,0.04485,0.0914,0.03558,0.01916,2.61732,6.16849,2.16035,0.000843851,0.000843851,0.000843851
28,595.4,1.35359,1.18664,1.32454,0.01951,0.04301,0.01141,0.00556,2.77421,6.67826,2.18647,0.000832349,0.000832349,0.000832349
29,614.468,1.49415,1.39916,1.38433,0.04624,0.08602,0.03538,0.01531,2.7277,5.98152,2.06565,0.000820525,0.000820525,0.000820525
30,633.722,1.31274,1.19987,1.31549,0.13556,0.05376,0.04539,0.02308,2.55151,5.68225,2.10661,0.000808389,0.000808389,0.000808389
31,652.73,1.30673,1.25993,1.3147,0.0531,0.09677,0.06126,0.03226,2.65997,5.97592,2.01848,0.000795954,0.000795954,0.000795954
32,672.467,1.24141,1.24624,1.32932,0.59302,0.05376,0.08559,0.04874,2.66159,5.8264,2.02614,0.000783231,0.000783231,0.000783231
33,691.572,1.32979,1.33168,1.32641,0.09326,0.09677,0.08167,0.0384,2.57037,5.89376,2.09006,0.000770234,0.000770234,0.000770234
34,710.56,1.1809,1.09231,1.18608,0.10909,0.06452,0.0921,0.05035,2.7616,6.24847,2.12295,0.000756976,0.000756976,0.000756976
35,729.436,1.18819,1.22648,1.24599,0.08242,0.08065,0.06941,0.03907,2.80425,6.15257,2.15729,0.000743468,0.000743468,0.000743468
36,748.1,1.33907,1.33951,1.34315,0.06364,0.03763,0.0463,0.02732,2.66164,6.74329,2.13644,0.000729725,0.000729725,0.000729725
