epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5659,1.83158,44.5489,1.45372,0.07801,0.06897,0.02051,0.01525,0.89686,3.25435,0.87654,0.0676226,0.000327044,0.000327044
2,71.5244,1.62625,2.20359,1.38907,0.00472,0.03448,0.00115,0.00046,1.13278,17.9606,1.02576,0.0346225,0.000660216,0.000660216
3,111.101,1.75694,2.50776,1.33621,0.06291,0.03448,0.00677,0.00225,1.17557,47.5123,1.09228,0.00162167,0.00099274,0.00099274
4,127.466,1.73433,2.26399,1.43154,0.08413,0.10345,0.07889,0.01957,1.22202,23.0655,1.00578,0.000997803,0.000997803,0.000997803
5,146.1,1.75944,1.96349,1.44637,0.04238,0.2069,0.01845,0.00623,1.07972,50.3005,0.87538,0.000996097,0.000996097,0.000996097
6,166.77,1.56424,1.78528,1.33772,0.31121,0.13793,0.0957,0.03522,1.02906,3.23147,0.79701,0.000993906,0.000993906,0.000993906
7,190.231,1.59186,1.909,1.37718,0.38276,0.17241,0.1437,0.06684,0.99399,14.0335,0.83507,0.000991232,0.000991232,0.000991232
8,208.476,1.53922,1.63526,1.36357,0.15957,0.17241,0.13078,0.03363,1.18709,2.29642,1.01806,0.000988079,0.000988079,0.000988079
9,226.786,1.47888,1.81918,1.31199,0.73929,0.06897,0.08404,0.04182,1.09237,3.03666,0.86977,0.000984449,0.000984449,0.000984449
10,244.916,1.44107,1.48862,1.24771,0.14993,0.10345,0.06363,0.02233,1.10239,2.35901,0.83802,0.000980345,0.000980345,0.000980345
11,264.082,1.50957,1.41165,1.29836,0.13465,0.03448,0.0175,0.00576,1.25197,3.27921,0.96713,0.000975773,0.000975773,0.000975773
12,282.581,1.47005,1.43422,1.26992,0.6514,0.17241,0.19303,0.08375,1.15231,2.08176,0.94177,0.000970736,0.000970736,0.000970736
13,302.85,1.5406,1.58918,1.29309,0.34848,0.13793,0.12483,0.04153,1.18701,2.36985,0.98798,0.000965239,0.000965239,0.000965239
14,321.315,1.43326,1.35324,1.27966,0.52482,0.10345,0.12586,0.03567,1.21725,2.49419,0.93998,0.000959289,0.000959289,0.000959289
15,339.935,1.36085,1.24795,1.19145,0.81876,0.17241,0.22048,0.09079,1.07659,4.32008,0.88672,0.000952889,0.000952889,0.000952889
16,358.447,1.28415,1.32115,1.17305,0.42406,0.03448,0.04092,0.00906,1.27245,3.18704,0.98225,0.000946048,0.000946048,0.000946048
17,376.697,1.34306,1.2887,1.20209,0.88501,0.06897,0.09219,0.02607,1.18607,2.80645,0.88528,0.000938772,0.000938772,0.000938772
18,395.172,1.30825,1.25412,1.16016,0.51747,0.13793,0.15613,0.07773,1.17399,2.12756,1.00999,0.000931067,0.000931067,0.000931067
19,414.653,1.35377,1.56802,1.22548,0.39052,0.17241,0.15996,0.07531,1.11641,2.19817,0.87535,0.000922942,0.000922942,0.000922942
20,432.626,1.26507,1.09043,1.19567,0.64934,0.2069,0.20017,0.09292,1.18929,2.28425,0.86785,0.000914405,0.000914405,0.000914405
21,452.017,1.31906,1.17056,1.18756,0.33637,0.10345,0.09181,0.04952,1.04778,2.73837,0.84609,0.000905463,0.000905463,0.000905463
22,471.257,1.30197,1.18957,1.16927,0.36054,0.41379,0.34623,0.14844,1.0812,1.53577,0.88643,0.000896127,0.000896127,0.000896127
23,490.371,1.21867,1.06166,1.13951,0.49738,0.27315,0.25086,0.10653,1.11407,1.36458,0.96762,0.000886404,0.000886404,0.000886404
24,508.999,1.29113,1.12885,1.1766,0.3077,0.17241,0.13809,0.04404,1.28331,1.95048,1.1124,0.000876305,0.000876305,0.000876305
25,528.052,1.22781,1.09674,1.15584,0.64657,0.24138,0.31642,0.1283,1.18473,1.76908,0.909,0.000865839,0.000865839,0.000865839
