epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0077,1.72018,31.8734,1.42397,0.08363,0.25,0.03804,0.01987,0.95475,37.3349,0.79117,0.0676,0.000327273,0.000327273
2,95.5564,1.76316,3.10158,1.45264,0.07956,0.30556,0.06252,0.02786,0.96011,7.87044,0.79723,0.0345998,0.000660445,0.000660445
3,128.032,1.751,2.31633,1.51185,0.41419,0.25,0.23231,0.11186,1.07185,31.2112,0.89709,0.00159903,0.000992969,0.000992969
4,154.652,1.77918,2.11146,1.50165,0.05735,0.11111,0.04787,0.02743,1.02129,182.527,0.82116,0.000997803,0.000997803,0.000997803
5,178.376,1.74586,2.27891,1.49867,0.54303,0.11111,0.14956,0.04349,0.99927,61.9485,0.84862,0.000996097,0.000996097,0.000996097
6,201.665,1.58704,2.16116,1.41934,0.04472,0.19444,0.02628,0.01093,1.03177,45.3806,0.87987,0.000993906,0.000993906,0.000993906
7,224.108,1.649,1.90507,1.40813,0.51492,0.19444,0.252,0.12458,0.98902,3.89879,0.81295,0.000991232,0.000991232,0.000991232
8,246.847,1.65627,1.95317,1.44775,0.09145,0.13889,0.02711,0.01112,1.03106,19.6855,0.79111,0.000988079,0.000988079,0.000988079
9,267.899,1.56432,1.68112,1.3797,0.58117,0.30556,0.36176,0.1568,1.0474,2.92621,0.81881,0.000984449,0.000984449,0.000984449
10,291.229,1.56815,1.52096,1.36062,0.32172,0.19444,0.20673,0.09732,1.09105,4.75062,0.86735,0.000980345,0.000980345,0.000980345
11,313.824,1.47808,1.43057,1.32717,0.4256,0.27778,0.26103,0.11903,1.04413,3.61937,0.7901,0.000975773,0.000975773,0.000975773
12,337.277,1.50721,1.62936,1.3362,0.55906,0.19444,0.27273,0.11146,1.07273,1.81589,0.8429,0.000970736,0.000970736,0.000970736
13,360.889,1.4494,1.45244,1.3225,0.56754,0.43765,0.49226,0.22221,0.93893,1.21066,0.77296,0.000965239,0.000965239,0.000965239
14,384.473,1.42437,1.32489,1.29052,0.45805,0.33333,0.31698,0.14708,0.98316,4.17718,0.82977,0.000959289,0.000959289,0.000959289
15,408.551,1.48935,1.4677,1.323,0.35298,0.11111,0.12696,0.07574,1.16986,15.9762,0.93551,0.000952889,0.000952889,0.000952889
