epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7256,1.84454,38.8022,1.4847,0,0,0,0,0,4.70117,0,0.0676471,0.000326797,0.000326797
2,79.2322,1.7367,2.54179,1.47596,0,0,0,0,0,71.0117,0,0.0346469,0.000659969,0.000659969
3,100.345,1.7181,2.62066,1.52704,0,0,0,0,0,70.9883,0,0.00164609,0.000992494,0.000992494
4,118.631,1.69393,2.05928,1.5838,0,0,0,0,0,137.188,0,0.000997803,0.000997803,0.000997803
5,136.4,1.63875,2.14973,1.43181,0,0,0,0,0,66.7754,0,0.000996097,0.000996097,0.000996097
6,155.496,1.63411,1.94255,1.49648,0,0,0,0,0,13.8208,0,0.000993906,0.000993906,0.000993906
7,173.383,1.58351,1.76488,1.43881,0,0,0,0,0,36.9707,0,0.000991232,0.000991232,0.000991232
8,192.565,1.52716,1.57384,1.42747,0,0,0,0,0,1.97852,0,0.000988079,0.000988079,0.000988079
9,210.817,1.59397,1.76634,1.50445,0,0,0,0,0,1.87341,0,0.000984449,0.000984449,0.000984449
10,229.306,1.4751,1.75113,1.40859,0,0,0,0,0,0.57861,0,0.000980345,0.000980345,0.000980345
11,247.467,1.4775,1.46481,1.39358,0,0,0,0,0,6.20142,0,0.000975773,0.000975773,0.000975773
12,266.618,1.4689,1.46749,1.38751,0,0,0,0,0,3.61511,0,0.000970736,0.000970736,0.000970736
13,284.434,1.38235,1.41734,1.34481,0,0,0,0,0,7.18774,0,0.000965239,0.000965239,0.000965239
14,303.621,1.3519,1.48001,1.27484,0,0,0,0,0,2.27612,0,0.000959289,0.000959289,0.000959289
15,321.689,1.48057,1.75692,1.35051,0,0,0,0,0,44.291,0,0.000952889,0.000952889,0.000952889
16,339.872,1.40077,1.44575,1.31133,0,0,0,0,0,19.894,0,0.000946048,0.000946048,0.000946048
17,357.71,1.346,1.31612,1.31993,0,0,0,0,0,2.37256,0,0.000938772,0.000938772,0.000938772
18,376.192,1.34083,1.34368,1.30068,0,0,0,0,0,12.6128,0,0.000931067,0.000931067,0.000931067
19,394.069,1.3488,1.2804,1.31687,0,0,0,0,0,2.15118,0,0.000922942,0.000922942,0.000922942
